epoch,beta,beta_event,train_recon,train_kl,train_raw_kl,train_align,train_stab,train_interv_inv,train_total,train_aux_pres_f1,train_aux_pres_acc,train_aux_type_f1,train_aux_type_acc,val_recon,val_kl,val_raw_kl,val_align,val_stab,val_interv_inv,val_total,val_aux_pres_f1,val_aux_pres_acc,val_aux_type_f1,val_aux_type_acc,val_ref_elbo
0,0.02,↑,0.024497660736625012,0.0,42.981346376649626,0.0,0.029909145550959276,0.023305560055362818,1.6341160896060232,0.8709,0.7812,0.4518,0.4855,0.015041683604660976,53.467168357750886,53.467168357750886,0.0,0.022060712511639227,0.040877947096149295,55.478216523264614,0.8601,0.7769,0.3071,0.3172,53.48221004135555
1,0.04,↑,0.02392431856354787,0.11257542834886701,5.628771545249464,0.0,0.015140323077529778,0.020072424472156136,1.6082084231324247,0.8816,0.8055,0.5545,0.5644,0.017424308055364268,4.0909123436064165,4.0909123436064165,0.0,0.013348825455767146,0.02834080821982397,5.828993969209204,0.8622,0.7757,0.4141,0.4289,4.108336651661781
2,0.06,↑,0.019879199315421966,0.11299531608001216,2.8248829599265215,0.0,0.008082392259633966,0.018170176687967648,1.5244875259888477,0.8852,0.8119,0.603,0.6051,0.01844798586862921,2.3980040140929653,2.3980040140929653,0.0,0.006661993826143923,0.020729287887239916,4.0875855658699,0.8675,0.7861,0.4484,0.4626,2.4164519999615943
3,0.08,↑,0.02050097171394598,0.11613303315126415,1.9355505931945074,0.0,0.004711734362529939,0.016271671438896722,1.4741943166369484,0.8885,0.8173,0.6321,0.6316,0.020009354700218456,1.3240742440387414,1.3240742440387414,0.0,0.003716301244919392,0.017350010719757863,3.039221178308577,0.8697,0.7978,0.4425,0.466,1.3440835987389599
4,0.1,↑,0.02159607875068764,0.11533897791753758,1.4417372579539651,0.0,0.00294643404851787,0.014853376190727338,1.43699900331078,0.8901,0.8202,0.6443,0.6437,0.0201178642285612,1.3341979952329217,1.3341979952329217,0.0,0.002426439105800869,0.01847364084171571,3.0128732873646484,0.8715,0.7969,0.441,0.4424,1.3543158594614828
5,0.12000000000000001,↑,0.022400596196125278,0.11312775601779584,1.1312775431753515,0.0,0.0018260261483555285,0.014453657646066485,1.4035907695581624,0.8909,0.8218,0.6598,0.6582,0.02152524330521346,1.0485181061495015,1.0485181061495015,0.0,0.0015004436963121906,0.015831022181592148,2.7285415328111773,0.8739,0.7995,0.4541,0.457,1.070043349454715
6,0.14,↑,0.02366473805841618,0.11068815439120754,0.9224013080308725,0.0,0.0010831066889768542,0.01350790888988737,1.3749949235619205,0.8933,0.8256,0.6686,0.6667,0.022340433875922227,1.0575158526969057,1.0575158526969057,0.0,0.0008414114074473761,0.01764907214846542,2.74524532725371,0.8724,0.7941,0.4712,0.4873,1.079856286572828
7,0.16,↑,0.02452432129859597,0.10859929142526654,0.7757092204504398,0.0,0.0005950999752496413,0.013636398429371716,1.3473696503447088,0.8949,0.8286,0.6776,0.6741,0.02329930413690248,0.6580247583563236,0.6580247583563236,0.0,0.0004036322574190148,0.01170768384130216,2.3211187323787184,0.8736,0.7962,0.4669,0.4795,0.6813240624932261
8,0.18,↑,0.025722402028548412,0.1049263440208994,0.6557896645951183,0.0,0.00029644236164107825,0.01296846939237181,1.330065375500983,0.8953,0.8292,0.6821,0.6788,0.024872751766615925,0.6230783708105783,0.6230783708105783,0.0,0.00020891774366829592,0.012667189170346623,2.26442998008155,0.8712,0.7891,0.4732,0.4833,0.6479511225771942
9,0.19999999999999998,↑,0.027088535144488453,0.10218368822729194,0.5676871342755063,0.0,0.00012299676630627866,0.012906779654515095,1.3067756558294261,0.8981,0.8342,0.6901,0.6876,0.025111897772601744,0.545141354842759,0.545141354842759,0.0,6.62742537479296e-05,0.013672777061858274,2.202637100424378,0.8734,0.7991,0.458,0.4589,0.5702532526153608
